asistencia_id,estudiante_id,asistencia,fecha
1,1,False,2028-08-16
2,1,True,2028-08-17
3,1,True,2028-08-18
4,1,True,2028-08-19
5,1,True,2028-08-20
6,1,True,2028-08-21
7,1,True,2028-08-22
8,1,True,2028-08-23
9,1,True,2028-08-24
10,1,True,2028-08-25
11,1,True,2028-08-26
12,1,False,2028-08-27
13,1,True,2028-08-28
14,1,True,2028-08-29
15,1,True,2028-08-30
16,1,True,2028-08-31
17,1,True,2028-09-01
18,1,True,2028-09-02
19,1,True,2028-09-03
20,1,True,2028-09-04
21,1,False,2028-09-05
22,1,True,2028-09-06
23,1,True,2028-09-07
24,1,True,2028-09-08
25,1,True,2028-09-09
26,1,False,2028-09-10
27,1,True,2028-09-11
28,1,True,2028-09-12
29,1,True,2028-09-13
30,1,True,2028-09-14
31,1,True,2028-09-15
32,1,True,2028-09-16
33,1,True,2028-09-17
34,1,True,2028-09-18
35,1,True,2028-09-19
36,1,True,2028-09-20
37,1,True,2028-09-21
38,1,True,2028-09-22
39,1,True,2028-09-23
40,1,True,2028-09-24
41,1,False,2028-09-25
42,1,True,2028-09-26
43,1,True,2028-09-27
44,1,True,2028-09-28
45,1,True,2028-09-29
46,1,True,2028-09-30
47,1,True,2028-10-01
48,1,True,2028-10-02
49,1,True,2028-10-03
50,1,True,2028-10-04
51,1,True,2028-10-05
52,1,True,2028-10-06
53,1,True,2028-10-07
54,1,True,2028-10-08
55,1,True,2028-10-09
56,1,True,2028-10-10
57,1,True,2028-10-11
58,1,True,2028-10-12
59,1,True,2028-10-13
60,1,True,2028-10-14
61,1,True,2028-10-15
62,1,True,2028-10-16
63,1,True,2028-10-17
64,1,True,2028-10-18
65,1,True,2028-10-19
66,1,True,2028-10-20
67,1,True,2028-10-21
68,1,True,2028-10-22
69,1,True,2028-10-23
70,1,True,2028-10-24
71,1,True,2028-10-25
72,1,True,2028-10-26
73,1,True,2028-10-27
74,1,True,2028-10-28
75,1,True,2028-10-29
76,1,True,2028-10-30
77,1,True,2028-10-31
78,1,True,2028-11-01
79,1,True,2028-11-02
80,1,True,2028-11-03
81,1,True,2028-11-04
82,1,True,2028-11-05
83,1,True,2028-11-06
84,1,True,2028-11-07
85,1,True,2028-11-08
86,1,True,2028-11-09
87,1,True,2028-11-10
88,1,True,2028-11-11
89,1,True,2028-11-12
90,1,True,2028-11-13
91,1,True,2028-11-14
92,1,True,2028-11-15
93,1,True,2028-11-16
94,1,True,2028-11-17
95,1,True,2028-11-18
96,1,True,2028-11-19
97,1,True,2028-11-20
98,1,True,2028-11-21
99,1,True,2028-11-22
100,1,True,2028-11-23
101,1,True,2028-11-24
102,1,True,2028-11-25
103,1,True,2028-11-26
104,1,True,2028-11-27
105,1,True,2028-11-28
106,1,True,2028-11-29
107,1,True,2028-11-30
108,1,True,2028-12-01
109,1,True,2028-12-02
110,1,True,2028-12-03
111,1,True,2028-12-04
112,1,True,2028-12-05
113,1,True,2028-12-06
114,1,True,2028-12-07
115,1,False,2028-12-08
116,1,True,2028-12-09
117,1,True,2028-12-10
118,1,True,2028-12-11
119,1,True,2028-12-12
120,1,True,2028-12-13
121,1,True,2028-12-14
122,1,True,2028-12-15
123,1,True,2028-12-16
124,1,True,2028-12-17
125,1,True,2028-12-18
126,1,True,2028-12-19
127,1,True,2028-12-20
128,1,True,2028-12-21
129,1,True,2028-12-22
130,1,True,2028-12-23
131,1,True,2028-12-24
132,1,True,2028-12-25
133,1,True,2028-12-26
134,1,True,2028-12-27
135,1,True,2028-12-28
136,1,True,2028-12-29
137,1,True,2028-12-30
138,1,True,2028-12-31
139,1,True,2029-01-01
140,1,True,2029-01-02
141,1,True,2029-01-03
142,1,True,2029-01-04
143,1,True,2029-01-05
144,1,True,2029-01-06
145,1,True,2029-01-07
146,1,False,2029-01-08
147,1,False,2029-01-09
148,1,True,2029-01-10
149,1,True,2029-01-11
150,1,True,2029-01-12
151,1,True,2029-01-13
152,1,True,2029-01-14
153,1,True,2029-01-15
154,1,True,2029-01-16
155,2,True,2027-12-20
156,2,True,2027-12-21
157,2,True,2027-12-22
158,2,True,2027-12-23
159,2,True,2027-12-24
160,2,False,2027-12-25
161,2,True,2027-12-26
162,2,False,2027-12-27
163,2,True,2027-12-28
164,2,True,2027-12-29
165,2,True,2027-12-30
166,2,True,2027-12-31
167,2,True,2028-01-01
168,2,True,2028-01-02
169,2,True,2028-01-03
170,2,True,2028-01-04
171,2,True,2028-01-05
172,2,True,2028-01-06
173,2,True,2028-01-07
174,2,True,2028-01-08
175,2,True,2028-01-09
176,2,True,2028-01-10
177,2,True,2028-01-11
178,2,True,2028-01-12
179,2,True,2028-01-13
180,2,True,2028-01-14
181,2,True,2028-01-15
182,2,True,2028-01-16
183,2,False,2028-01-17
184,2,True,2028-01-18
185,2,True,2028-01-19
186,2,True,2028-01-20
187,2,True,2028-01-21
188,2,True,2028-01-22
189,2,True,2028-01-23
190,2,True,2028-01-24
191,2,True,2028-01-25
192,2,False,2028-01-26
193,2,True,2028-01-27
194,2,True,2028-01-28
195,2,True,2028-01-29
196,2,True,2028-01-30
197,2,True,2028-01-31
198,2,True,2028-02-01
199,2,True,2028-02-02
200,2,True,2028-02-03
201,2,False,2028-02-04
202,2,True,2028-02-05
203,2,True,2028-02-06
204,2,True,2028-02-07
205,2,True,2028-02-08
206,2,True,2028-02-09
207,2,True,2028-02-10
208,2,True,2028-02-11
209,2,True,2028-02-12
210,2,True,2028-02-13
211,2,True,2028-02-14
212,2,True,2028-02-15
213,2,True,2028-02-16
214,2,True,2028-02-17
215,2,True,2028-02-18
216,2,True,2028-02-19
217,2,True,2028-02-20
218,2,True,2028-02-21
219,2,True,2028-02-22
220,2,True,2028-02-23
221,2,True,2028-02-24
222,2,True,2028-02-25
223,2,True,2028-02-26
224,2,True,2028-02-27
225,2,True,2028-02-28
226,2,True,2028-02-29
227,2,False,2028-03-01
228,2,True,2028-03-02
229,2,True,2028-03-03
230,2,True,2028-03-04
231,2,True,2028-03-05
232,2,True,2028-03-06
233,2,True,2028-03-07
234,2,True,2028-03-08
235,2,True,2028-03-09
236,2,True,2028-03-10
237,2,True,2028-03-11
238,2,True,2028-03-12
239,2,True,2028-03-13
240,2,True,2028-03-14
241,2,True,2028-03-15
242,2,True,2028-03-16
243,2,True,2028-03-17
244,2,True,2028-03-18
245,2,True,2028-03-19
246,2,True,2028-03-20
247,2,True,2028-03-21
248,2,True,2028-03-22
249,2,True,2028-03-23
250,2,True,2028-03-24
251,2,True,2028-03-25
252,2,True,2028-03-26
253,2,True,2028-03-27
254,2,True,2028-03-28
255,2,True,2028-03-29
256,2,True,2028-03-30
257,2,True,2028-03-31
258,2,True,2028-04-01
259,2,True,2028-04-02
260,2,True,2028-04-03
261,2,True,2028-04-04
262,2,False,2028-04-05
263,2,True,2028-04-06
264,2,True,2028-04-07
265,2,True,2028-04-08
266,2,True,2028-04-09
267,2,False,2028-04-10
268,2,False,2028-04-11
269,2,True,2028-04-12
270,2,True,2028-04-13
271,2,True,2028-04-14
272,2,True,2028-04-15
273,2,True,2028-04-16
274,2,True,2028-04-17
275,2,True,2028-04-18
276,2,True,2028-04-19
277,2,True,2028-04-20
278,2,True,2028-04-21
279,2,True,2028-04-22
280,2,True,2028-04-23
281,2,True,2028-04-24
282,2,True,2028-04-25
283,2,True,2028-04-26
284,2,True,2028-04-27
285,2,True,2028-04-28
286,2,True,2028-04-29
287,2,True,2028-04-30
288,2,True,2028-05-01
289,2,False,2028-05-02
290,2,True,2028-05-03
291,2,True,2028-05-04
292,2,True,2028-05-05
293,2,True,2028-05-06
294,2,True,2028-05-07
295,2,True,2028-05-08
296,2,True,2028-05-09
297,2,True,2028-05-10
298,2,True,2028-05-11
299,2,True,2028-05-12
300,2,True,2028-05-13
301,2,True,2028-05-14
302,2,True,2028-05-15
303,2,True,2028-05-16
304,2,True,2028-05-17
305,2,True,2028-05-18
306,2,True,2028-05-19
307,2,False,2028-05-20
308,2,True,2028-05-21
309,3,True,2031-05-03
310,3,True,2031-05-04
311,3,True,2031-05-05
312,3,True,2031-05-06
313,3,True,2031-05-07
314,3,True,2031-05-08
315,3,True,2031-05-09
316,3,True,2031-05-10
317,3,True,2031-05-11
318,3,True,2031-05-12
319,3,True,2031-05-13
320,3,True,2031-05-14
321,3,True,2031-05-15
322,3,True,2031-05-16
323,3,True,2031-05-17
324,3,True,2031-05-18
325,3,True,2031-05-19
326,3,True,2031-05-20
327,3,True,2031-05-21
328,3,True,2031-05-22
329,3,True,2031-05-23
330,3,True,2031-05-24
331,3,True,2031-05-25
332,3,True,2031-05-26
333,3,True,2031-05-27
334,3,True,2031-05-28
335,3,True,2031-05-29
336,3,True,2031-05-30
337,3,True,2031-05-31
338,3,True,2031-06-01
339,3,True,2031-06-02
340,3,True,2031-06-03
341,3,True,2031-06-04
342,3,True,2031-06-05
343,3,True,2031-06-06
344,3,True,2031-06-07
345,3,True,2031-06-08
346,3,True,2031-06-09
347,3,True,2031-06-10
348,3,True,2031-06-11
